order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,region,state,city,category,sub_category,product_name,quantity,discount,sales,profit,order_year,order_month,order_month_name,delivery_days,profit_margin_pct
ORD-2023-102050,2023-07-08,2023-07-16,Standard Class,CU-10188,Madison Poole,Consumer,West,California,San Francisco,Office Supplies,Paper,Copy Paper Ream,12,0.0,440.76,151.14,2023,7,Jul,8,34.29
ORD-2025-102324,2025-11-07,2025-11-10,First Class,CU-10249,Kimberly Gutierrez,Consumer,South,Texas,Austin,Office Supplies,Paper,Storage Box,11,0.15,63.58,4.38,2025,11,Nov,3,6.89
ORD-2022-108696,2022-12-06,2022-12-09,First Class,CU-10263,Diane Evans,Consumer,West,California,Los Angeles,Furniture,Furnishings,Executive Office Chair,10,0.0,1353.4,488.85,2022,12,Dec,3,36.12
ORD-2024-109753,2024-12-10,2024-12-12,First Class,CU-10312,Shannon Ramsey,Consumer,West,Arizona,Mesa,Office Supplies,Paper,Storage Box,7,0.15,869.47,144.57,2024,12,Dec,2,16.63
ORD-2024-106264,2024-03-28,2024-03-31,First Class,CU-10308,Kiara Mcintyre,Corporate,North,Wisconsin,Green Bay,Office Supplies,Paper,Stapler,1,0.15,75.12,6.18,2024,3,Mar,3,8.23
ORD-2023-101996,2023-12-09,2023-12-15,Second Class,CU-10211,Denise Mccann,Corporate,East,Pennsylvania,Allentown,Technology,Phones,Desktop Printer,3,0.5,2543.04,-1328.64,2023,12,Dec,6,-52.25
ORD-2025-104839,2025-07-22,2025-07-27,Second Class,CU-10296,Laura Haney,Consumer,South,Texas,Houston,Furniture,Bookcases,Modern Bookcase,2,0.0,1163.6,214.83,2025,7,Jul,5,18.46
ORD-2023-101242,2023-07-01,2023-07-07,Standard Class,CU-10202,Elizabeth Perkins,Corporate,West,Arizona,Tucson,Technology,Machines,External Hard Drive,1,0.3,2138.77,-507.29,2023,7,Jul,6,-23.72
ORD-2024-100101,2024-11-28,2024-11-30,First Class,CU-10304,Maria Parker,Consumer,North,Ohio,Cincinnati,Technology,Machines,Smartphone,11,0.1,8442.72,1009.7,2024,11,Nov,2,11.96
ORD-2022-105114,2022-01-09,2022-01-12,First Class,CU-10032,Tricia Valencia,Consumer,East,New Jersey,Jersey City,Technology,Phones,Wireless Mouse,3,0.1,5936.55,335.99,2022,1,Jan,3,5.66
ORD-2024-102769,2024-06-11,2024-06-18,Standard Class,CU-10318,Stephen Hoffman,Consumer,West,California,San Francisco,Office Supplies,Storage,Address Labels,10,0.1,815.2,10.15,2024,6,Jun,7,1.25
ORD-2024-102911,2024-11-04,2024-11-10,Standard Class,CU-10247,Frank Cordova,Consumer,West,Nevada,Reno,Office Supplies,Storage,Storage Box,1,0.5,30.49,-25.8,2024,11,Nov,6,-84.62
ORD-2024-101952,2024-11-21,2024-11-27,Standard Class,CU-10028,Zachary Hicks,Corporate,South,Florida,Orlando,Office Supplies,Art,Address Labels,9,0.0,1098.45,218.33,2024,11,Nov,6,19.88
ORD-2024-102574,2024-11-25,2024-12-01,Standard Class,CU-10379,Megan Nelson,Corporate,North,Minnesota,Minneapolis,Technology,Phones,Bluetooth Speaker,4,0.0,9105.88,3529.01,2024,11,Nov,6,38.76
ORD-2025-106976,2025-04-17,2025-04-23,Standard Class,CU-10352,Kerry Chavez DDS,Home Office,West,California,Los Angeles,Office Supplies,Binders,Stapler,1,0.1,76.89,20.9,2025,4,Apr,6,27.18
ORD-2024-101214,2024-03-10,2024-03-18,Standard Class,CU-10032,Tricia Valencia,Consumer,South,Florida,Orlando,Technology,Machines,Office Copier,5,0.0,10838.45,2386.99,2024,3,Mar,8,22.02
ORD-2022-104952,2022-05-19,2022-05-26,Standard Class,CU-10150,David Wright,Home Office,West,California,Los Angeles,Office Supplies,Fasteners,Address Labels,14,0.1,691.32,79.85,2022,5,May,7,11.55
ORD-2025-102889,2025-02-19,2025-02-23,Second Class,CU-10292,Jeremy Reed,Corporate,North,Minnesota,St. Paul,Technology,Copiers,External Hard Drive,12,0.15,10134.36,1320.86,2025,2,Feb,4,13.03
ORD-2024-102691,2024-05-15,2024-05-23,Standard Class,CU-10076,Angela Lopez,Home Office,South,Tennessee,Memphis,Office Supplies,Fasteners,Copy Paper Ream,3,0.0,343.2,96.12,2024,5,May,8,28.01
ORD-2023-102216,2023-04-29,2023-05-05,Standard Class,CU-10398,Ashley Hicks,Corporate,East,Pennsylvania,Philadelphia,Office Supplies,Binders,Address Labels,1,0.15,106.07,13.95,2023,4,Apr,6,13.15
ORD-2024-100894,2024-11-04,2024-11-11,Standard Class,CU-10235,Kathryn Snyder,Consumer,North,Minnesota,St. Paul,Office Supplies,Paper,Address Labels,3,0.3,415.53,13.11,2024,11,Nov,7,3.16
ORD-2025-104135,2025-10-31,2025-11-06,Standard Class,CU-10142,Patricia Rodriguez,Consumer,South,Georgia,Atlanta,Furniture,Chairs,Modern Bookcase,5,0.0,423.85,167.08,2025,10,Oct,6,39.42
ORD-2023-100069,2023-12-17,2023-12-25,Standard Class,CU-10161,Jennifer Adkins,Corporate,West,Washington,Seattle,Furniture,Tables,Wooden Dining Table,10,0.2,1799.4,-233.69,2023,12,Dec,8,-12.99
ORD-2024-104972,2024-07-14,2024-07-22,Standard Class,CU-10286,Joseph Knight,Corporate,South,Tennessee,Nashville,Office Supplies,Labels,Sketch Pad,10,0.0,96.2,14.91,2024,7,Jul,8,15.5
ORD-2024-104719,2024-06-06,2024-06-12,Second Class,CU-10386,Adam Burgess,Consumer,South,North Carolina,Charlotte,Technology,Copiers,Office Copier,9,0.3,15717.06,-3441.25,2024,6,Jun,6,-21.89
ORD-2023-106199,2023-08-02,2023-08-08,Standard Class,CU-10037,Cassandra Gaines,Corporate,West,California,Los Angeles,Technology,Accessories,Wireless Mouse,12,0.0,3467.16,504.4,2023,8,Aug,6,14.55
ORD-2025-108628,2025-01-19,2025-01-26,Standard Class,CU-10205,David Martinez,Consumer,South,Georgia,Atlanta,Office Supplies,Art,Sketch Pad,6,0.15,559.14,56.98,2025,1,Jan,7,10.19
ORD-2024-105529,2024-04-06,2024-04-06,Same Day,CU-10043,Anthony Humphrey,Consumer,East,Virginia,Norfolk,Technology,Phones,Office Copier,7,0.15,11377.87,1385.3,2024,4,Apr,0,12.18
ORD-2024-103723,2024-01-05,2024-01-12,Standard Class,CU-10234,Michael Lyons,Consumer,South,Florida,Orlando,Office Supplies,Labels,Address Labels,12,0.15,1548.6,186.78,2024,1,Jan,7,12.06
ORD-2023-104911,2023-11-11,2023-11-17,Standard Class,CU-10369,Sabrina Austin,Home Office,West,Arizona,Mesa,Office Supplies,Art,Stapler,2,0.1,136.06,18.85,2023,11,Nov,6,13.85
ORD-2025-105008,2025-03-14,2025-03-20,Second Class,CU-10010,Monica Herrera,Consumer,East,New Jersey,Jersey City,Furniture,Tables,Wooden Dining Table,5,0.0,2358.05,367.83,2025,3,Mar,6,15.6
ORD-2022-102246,2022-01-09,2022-01-15,Standard Class,CU-10201,Ricky Davis II,Home Office,East,Pennsylvania,Philadelphia,Technology,Machines,Wireless Mouse,6,0.1,5789.22,1322.25,2022,1,Jan,6,22.84
ORD-2025-108960,2025-03-12,2025-03-19,Standard Class,CU-10094,John Whitehead,Consumer,West,Arizona,Mesa,Technology,Phones,Wireless Mouse,12,0.3,1368.12,-302.91,2025,3,Mar,7,-22.14
ORD-2024-100603,2024-08-08,2024-08-16,Standard Class,CU-10184,Lindsay Martinez,Consumer,North,Minnesota,Rochester,Office Supplies,Art,Sketch Pad,5,0.15,440.1,67.07,2024,8,Aug,8,15.24
ORD-2024-101582,2024-04-08,2024-04-15,Standard Class,CU-10151,Pamela Boyd,Corporate,South,Texas,Dallas,Furniture,Chairs,Glass Coffee Table,1,0.0,579.29,214.08,2024,4,Apr,7,36.96
ORD-2022-104853,2022-11-16,2022-11-22,Standard Class,CU-10191,Karen Graham,Consumer,South,Georgia,Atlanta,Technology,Phones,Laptop Stand,7,0.1,4952.29,1250.48,2022,11,Nov,6,25.25
ORD-2025-106485,2025-10-01,2025-10-08,Standard Class,CU-10162,Lindsey Walker,Consumer,North,Minnesota,St. Paul,Office Supplies,Binders,Desk Organizer,11,0.4,1332.65,-571.8,2025,10,Oct,7,-42.91
ORD-2025-100177,2025-10-23,2025-10-25,First Class,CU-10091,Brian Rodriguez,Corporate,South,Texas,Dallas,Technology,Accessories,External Hard Drive,14,0.0,4826.36,941.43,2025,10,Oct,2,19.51
ORD-2022-101244,2022-06-16,2022-06-22,Second Class,CU-10077,Megan Young,Consumer,North,Illinois,Chicago,Technology,Copiers,Bluetooth Speaker,1,0.0,1535.99,291.82,2022,6,Jun,6,19.0
ORD-2025-105705,2025-03-14,2025-03-20,Standard Class,CU-10119,Jeffrey Chandler,Consumer,South,Tennessee,Memphis,Office Supplies,Paper,Stapler,14,0.0,786.66,257.84,2025,3,Mar,6,32.78
ORD-2022-104026,2022-06-05,2022-06-12,Standard Class,CU-10314,Richard Smith,Corporate,South,Georgia,Atlanta,Office Supplies,Storage,Stapler,13,0.0,31.85,7.94,2022,6,Jun,7,24.93
ORD-2024-103592,2024-11-23,2024-12-01,Standard Class,CU-10092,Denise Jacobs,Corporate,West,Oregon,Eugene,Office Supplies,Art,Ring Binder,2,0.5,230.7,-71.8,2024,11,Nov,8,-31.12
ORD-2022-102277,2022-08-16,2022-08-22,Second Class,CU-10070,Jordan Henderson,Consumer,East,New York,Buffalo,Office Supplies,Art,Ring Binder,14,0.0,1240.96,212.69,2022,8,Aug,6,17.14
ORD-2022-106502,2022-11-12,2022-11-18,Standard Class,CU-10187,Samantha Garcia,Consumer,North,Minnesota,St. Paul,Office Supplies,Paper,Copy Paper Ream,4,0.0,252.08,74.75,2022,11,Nov,6,29.65
ORD-2025-107009,2025-08-01,2025-08-09,Standard Class,CU-10288,Lisa Allen,Consumer,South,Georgia,Augusta,Office Supplies,Art,Storage Box,8,0.0,958.4,356.07,2025,8,Aug,8,37.15
ORD-2025-106224,2025-12-10,2025-12-17,Standard Class,CU-10296,Laura Haney,Consumer,East,New Jersey,Paterson,Technology,Copiers,Wireless Mouse,11,0.0,10700.14,3328.68,2025,12,Dec,7,31.11
ORD-2022-106800,2022-09-04,2022-09-04,Same Day,CU-10381,Paul Wilson,Consumer,South,Florida,Miami,Office Supplies,Fasteners,Sketch Pad,3,0.15,108.42,12.18,2022,9,Sep,0,11.23
ORD-2024-106877,2024-12-08,2024-12-11,First Class,CU-10094,John Whitehead,Consumer,North,Ohio,Cincinnati,Technology,Copiers,Smartphone,5,0.1,2506.7,-65.98,2024,12,Dec,3,-2.63
ORD-2022-104803,2022-01-23,2022-01-28,Second Class,CU-10365,Kenneth Lewis,Corporate,South,North Carolina,Durham,Office Supplies,Storage,Copy Paper Ream,14,0.0,434.56,88.15,2022,1,Jan,5,20.28
ORD-2024-105774,2024-01-23,2024-01-28,Second Class,CU-10253,Barbara Dudley,Consumer,West,Nevada,Henderson,Office Supplies,Paper,Desk Organizer,5,0.1,145.25,14.94,2024,1,Jan,5,10.29
ORD-2024-100227,2024-10-25,2024-10-31,Second Class,CU-10079,Lisa Barnes,Consumer,West,California,San Francisco,Furniture,Tables,Wooden Dining Table,13,0.0,2779.66,348.81,2024,10,Oct,6,12.55
ORD-2023-107701,2023-08-03,2023-08-08,Second Class,CU-10220,Courtney Mills,Home Office,East,Virginia,Richmond,Office Supplies,Art,Stapler,4,0.1,236.96,-4.19,2023,8,Aug,5,-1.77
ORD-2024-101712,2024-03-29,2024-04-05,Standard Class,CU-10054,Shannon Jones,Corporate,North,Illinois,Naperville,Office Supplies,Labels,Copy Paper Ream,3,0.15,373.83,-24.5,2024,3,Mar,7,-6.55
ORD-2025-105130,2025-08-16,2025-08-24,Standard Class,CU-10303,Sara Fuller,Corporate,East,New Jersey,Paterson,Office Supplies,Art,Address Labels,5,0.0,740.05,265.68,2025,8,Aug,8,35.9
ORD-2024-100958,2024-09-28,2024-10-03,Second Class,CU-10066,Tracy House,Consumer,North,Wisconsin,Milwaukee,Furniture,Chairs,Glass Coffee Table,6,0.1,2737.68,679.4,2024,9,Sep,5,24.82
ORD-2022-108341,2022-01-26,2022-02-01,Standard Class,CU-10025,Judy Baker,Consumer,West,Arizona,Mesa,Technology,Accessories,Wireless Mouse,6,0.15,8798.52,116.87,2022,1,Jan,6,1.33
ORD-2022-104830,2022-01-28,2022-02-03,Second Class,CU-10026,Justin Baker,Consumer,North,Ohio,Columbus,Technology,Copiers,Office Copier,10,0.0,10037.2,2836.61,2022,1,Jan,6,28.26
ORD-2025-101160,2025-01-01,2025-01-05,First Class,CU-10168,Joel Williams,Consumer,South,Texas,Austin,Technology,Machines,Office Copier,10,0.1,16633.4,2397.11,2025,1,Jan,4,14.41
ORD-2023-100608,2023-01-26,2023-01-30,Second Class,CU-10281,Tammie Bright,Consumer,North,Illinois,Aurora,Office Supplies,Storage,Desk Organizer,7,0.3,993.86,-76.92,2023,1,Jan,4,-7.74
ORD-2025-102562,2025-10-25,2025-10-27,First Class,CU-10295,John Young,Corporate,West,Washington,Tacoma,Office Supplies,Binders,Desk Organizer,4,0.0,345.44,78.14,2025,10,Oct,2,22.62
ORD-2023-104696,2023-06-30,2023-07-06,Standard Class,CU-10112,Julia Torres,Consumer,South,Florida,Orlando,Office Supplies,Art,Storage Box,7,0.15,651.84,94.58,2023,6,Jun,6,14.51
ORD-2022-101977,2022-06-29,2022-07-04,Second Class,CU-10042,Sherry Decker,Consumer,West,Nevada,Reno,Furniture,Tables,Wooden Dining Table,7,0.1,2921.94,641.05,2022,6,Jun,5,21.94
ORD-2024-103356,2024-08-19,2024-08-26,Standard Class,CU-10276,Wayne Morgan,Consumer,West,California,San Diego,Office Supplies,Storage,Sketch Pad,8,0.4,54.24,-30.02,2024,8,Aug,7,-55.35
ORD-2022-101301,2022-01-11,2022-01-16,Second Class,CU-10177,Michael Wang,Consumer,East,Pennsylvania,Allentown,Office Supplies,Binders,Address Labels,2,0.0,46.98,-3.62,2022,1,Jan,5,-7.71
ORD-2023-109785,2023-01-09,2023-01-17,Standard Class,CU-10234,Michael Lyons,Consumer,West,Washington,Seattle,Office Supplies,Art,Address Labels,1,0.0,80.23,36.25,2023,1,Jan,8,45.18
ORD-2025-101469,2025-06-24,2025-07-02,Standard Class,CU-10079,Lisa Barnes,Consumer,South,North Carolina,Charlotte,Office Supplies,Labels,Sketch Pad,4,0.1,51.92,4.29,2025,6,Jun,8,8.26
ORD-2022-107742,2022-05-23,2022-05-27,Second Class,CU-10200,Melissa Brewer,Home Office,East,New Jersey,Newark,Office Supplies,Storage,Stapler,1,0.4,33.64,-20.84,2022,5,May,4,-61.95
ORD-2022-109726,2022-01-18,2022-01-22,Second Class,CU-10169,Daniel Murphy,Consumer,West,Washington,Seattle,Office Supplies,Paper,Desk Organizer,8,0.15,275.52,49.91,2022,1,Jan,4,18.11
ORD-2024-107946,2024-12-03,2024-12-07,First Class,CU-10093,Christina Walters,Consumer,West,Oregon,Portland,Office Supplies,Paper,Storage Box,14,0.1,169.82,12.84,2024,12,Dec,4,7.56
ORD-2025-100530,2025-09-05,2025-09-10,Second Class,CU-10353,Michael Farrell,Consumer,North,Minnesota,Minneapolis,Furniture,Chairs,Storage Cabinet,5,0.0,1623.5,210.35,2025,9,Sep,5,12.96
ORD-2024-109366,2024-09-09,2024-09-13,First Class,CU-10000,Allison Hill,Corporate,East,New Jersey,Jersey City,Office Supplies,Labels,Ring Binder,6,0.15,775.14,18.51,2024,9,Sep,4,2.39
ORD-2022-106202,2022-03-08,2022-03-11,First Class,CU-10270,Jasmin Alvarado,Corporate,East,New Jersey,Newark,Office Supplies,Fasteners,Storage Box,12,0.0,1326.12,436.37,2022,3,Mar,3,32.91
ORD-2023-100157,2023-05-21,2023-05-26,Second Class,CU-10313,Tracy Ballard,Consumer,West,Nevada,Las Vegas,Furniture,Chairs,Ergonomic Desk Chair,6,0.1,4592.22,1048.26,2023,5,May,5,22.83
ORD-2022-100491,2022-05-20,2022-05-26,Standard Class,CU-10331,Colton Martinez,Consumer,West,Nevada,Henderson,Office Supplies,Paper,Storage Box,10,0.2,942.4,36.72,2022,5,May,6,3.9
ORD-2022-107466,2022-12-10,2022-12-18,Standard Class,CU-10248,Jose Travis,Corporate,East,Virginia,Norfolk,Furniture,Chairs,Glass Coffee Table,9,0.0,3079.62,672.72,2022,12,Dec,8,21.84
ORD-2024-100424,2024-03-09,2024-03-15,Standard Class,CU-10162,Lindsey Walker,Consumer,South,Texas,Dallas,Technology,Copiers,Desktop Printer,11,0.1,8794.39,2245.98,2024,3,Mar,6,25.54
ORD-2025-107755,2025-10-17,2025-10-23,Standard Class,CU-10225,Benjamin Smith,Corporate,North,Ohio,Cleveland,Office Supplies,Binders,Sketch Pad,1,0.1,83.65,22.1,2025,10,Oct,6,26.42
ORD-2022-106697,2022-11-18,2022-11-20,First Class,CU-10115,Diana May,Home Office,North,Illinois,Chicago,Furniture,Bookcases,Ergonomic Desk Chair,8,0.4,3648.48,-1392.52,2022,11,Nov,2,-38.17
ORD-2025-107530,2025-10-22,2025-10-28,Standard Class,CU-10229,Lori Guerrero,Home Office,North,Ohio,Cleveland,Office Supplies,Art,Storage Box,2,0.2,91.74,-8.81,2025,10,Oct,6,-9.6
ORD-2023-106042,2023-07-01,2023-07-07,Standard Class,CU-10187,Samantha Garcia,Consumer,North,Illinois,Aurora,Office Supplies,Binders,Ring Binder,7,0.1,34.58,14.07,2023,7,Jul,6,40.69
ORD-2024-108493,2024-11-03,2024-11-08,Second Class,CU-10266,Kimberly Gibson,Corporate,East,Pennsylvania,Philadelphia,Furniture,Bookcases,Executive Office Chair,12,0.1,5304.72,955.05,2024,11,Nov,5,18.0
ORD-2024-106291,2024-04-25,2024-04-25,Same Day,CU-10095,Anna Henderson,Consumer,West,California,San Francisco,Furniture,Bookcases,Ergonomic Desk Chair,3,0.2,1823.13,-283.32,2024,4,Apr,0,-15.54
ORD-2024-104680,2024-06-09,2024-06-16,Standard Class,CU-10056,Timothy Duncan,Consumer,South,North Carolina,Raleigh,Office Supplies,Storage,Sketch Pad,10,0.2,1451.2,94.75,2024,6,Jun,7,6.53
ORD-2022-105998,2022-04-01,2022-04-09,Standard Class,CU-10020,Margaret Hawkins DDS,Corporate,East,New York,Buffalo,Furniture,Tables,Executive Office Chair,5,0.2,2106.9,34.0,2022,4,Apr,8,1.61
ORD-2025-102582,2025-12-28,2026-01-03,Standard Class,CU-10128,Cameron Fisher,Home Office,South,North Carolina,Raleigh,Office Supplies,Art,Stapler,8,0.0,1121.6,295.84,2025,12,Dec,6,26.38
ORD-2024-100739,2024-02-18,2024-02-25,Standard Class,CU-10364,Tracy Burke,Consumer,South,North Carolina,Charlotte,Furniture,Chairs,Storage Cabinet,7,0.15,1955.59,-149.66,2024,2,Feb,7,-7.65
ORD-2023-103386,2023-07-29,2023-08-01,First Class,CU-10247,Frank Cordova,Consumer,North,Ohio,Cincinnati,Office Supplies,Fasteners,Sketch Pad,2,0.0,66.08,13.43,2023,7,Jul,3,20.32
ORD-2024-100425,2024-12-24,2024-12-29,Second Class,CU-10094,John Whitehead,Consumer,North,Michigan,Grand Rapids,Office Supplies,Binders,Storage Box,11,0.1,973.06,160.19,2024,12,Dec,5,16.46
ORD-2022-103854,2022-06-03,2022-06-06,First Class,CU-10295,John Young,Corporate,North,Ohio,Cleveland,Office Supplies,Paper,Desk Organizer,8,0.4,916.8,-125.51,2022,6,Jun,3,-13.69
ORD-2023-105835,2023-08-24,2023-08-31,Standard Class,CU-10105,Marc Moore,Corporate,South,Florida,Orlando,Office Supplies,Paper,Desk Organizer,11,0.0,346.94,61.78,2023,8,Aug,7,17.81
ORD-2025-101252,2025-03-31,2025-04-06,Standard Class,CU-10104,Richard Henson,Consumer,South,Georgia,Augusta,Furniture,Chairs,Ergonomic Desk Chair,5,0.0,1460.25,349.38,2025,3,Mar,6,23.93
ORD-2024-101801,2024-03-27,2024-04-03,Standard Class,CU-10246,Krista Gibson,Consumer,South,Georgia,Atlanta,Technology,Accessories,Laptop Stand,8,0.0,8687.36,1005.76,2024,3,Mar,7,11.58
ORD-2025-100619,2025-09-11,2025-09-19,Standard Class,CU-10210,Christopher Smith,Consumer,East,Massachusetts,Springfield,Technology,Accessories,Office Copier,3,0.15,2085.99,-3.02,2025,9,Sep,8,-0.14
ORD-2022-104747,2022-01-28,2022-02-03,Standard Class,CU-10185,Dr. Hannah Patterson,Consumer,East,Virginia,Richmond,Office Supplies,Paper,Stapler,2,0.0,251.82,98.15,2022,1,Jan,6,38.98
ORD-2025-109798,2025-08-23,2025-08-26,First Class,CU-10147,Stephanie Salazar,Corporate,South,Texas,Houston,Furniture,Chairs,Storage Cabinet,2,0.0,740.4,221.9,2025,8,Aug,3,29.97
ORD-2024-106520,2024-02-14,2024-02-22,Standard Class,CU-10071,Whitney Peters,Home Office,West,Washington,Spokane,Furniture,Tables,Modern Bookcase,3,0.0,634.95,93.89,2024,2,Feb,8,14.79
ORD-2024-104517,2024-10-20,2024-10-26,Standard Class,CU-10205,David Martinez,Consumer,West,Oregon,Salem,Technology,Phones,Laptop Stand,5,0.1,8679.1,1956.41,2024,10,Oct,6,22.54
ORD-2023-101377,2023-07-26,2023-07-30,First Class,CU-10190,Debra Morton,Consumer,South,North Carolina,Charlotte,Office Supplies,Fasteners,Ring Binder,7,0.3,462.42,-86.95,2023,7,Jul,4,-18.8
ORD-2025-104606,2025-02-17,2025-02-24,Standard Class,CU-10279,Nathan Malone,Corporate,East,Pennsylvania,Pittsburgh,Office Supplies,Labels,Storage Box,11,0.3,861.08,-250.49,2025,2,Feb,7,-29.09
ORD-2023-101368,2023-05-09,2023-05-13,Second Class,CU-10230,Jessica Stephens,Consumer,West,Arizona,Tucson,Technology,Machines,Office Copier,9,0.2,16580.88,169.7,2023,5,May,4,1.02
ORD-2023-103527,2023-08-02,2023-08-09,Standard Class,CU-10319,Connie Brown,Home Office,North,Ohio,Columbus,Technology,Phones,Laptop Stand,6,0.0,12605.58,4562.74,2023,8,Aug,7,36.2
ORD-2023-100944,2023-06-09,2023-06-16,Standard Class,CU-10158,Melissa Gates,Consumer,East,New Jersey,Jersey City,Technology,Machines,Bluetooth Speaker,9,0.2,16663.14,419.23,2023,6,Jun,7,2.52
ORD-2025-102715,2025-08-23,2025-08-27,Second Class,CU-10157,Jason Stein,Corporate,East,New Jersey,Newark,Furniture,Bookcases,Modern Bookcase,3,0.1,1799.16,451.24,2025,8,Aug,4,25.08
ORD-2024-104582,2024-12-08,2024-12-12,First Class,CU-10284,Stephanie Williams,Consumer,South,Georgia,Atlanta,Office Supplies,Paper,Copy Paper Ream,14,0.3,1578.64,-325.84,2024,12,Dec,4,-20.64
ORD-2025-104063,2025-08-28,2025-09-03,Standard Class,CU-10002,Angie Henderson,Consumer,East,New York,Rochester,Office Supplies,Paper,Sketch Pad,11,0.15,700.15,-18.75,2025,8,Aug,6,-2.68
ORD-2022-109523,2022-06-10,2022-06-18,Standard Class,CU-10310,Dr. Paul Morgan,Home Office,East,Pennsylvania,Allentown,Office Supplies,Paper,Ring Binder,8,0.5,925.68,-365.74,2022,6,Jun,8,-39.51
ORD-2024-107270,2024-07-09,2024-07-15,Standard Class,CU-10369,Sabrina Austin,Home Office,North,Wisconsin,Green Bay,Office Supplies,Labels,Stapler,5,0.0,550.8,220.45,2024,7,Jul,6,40.02
ORD-2023-105674,2023-07-07,2023-07-14,Standard Class,CU-10393,Robert Montgomery,Consumer,West,Oregon,Eugene,Technology,Machines,External Hard Drive,13,0.0,22329.19,3692.23,2023,7,Jul,7,16.54
ORD-2024-101815,2024-02-26,2024-03-05,Standard Class,CU-10374,Charles Schultz,Consumer,West,California,San Francisco,Furniture,Chairs,Ergonomic Desk Chair,9,0.0,4279.95,612.78,2024,2,Feb,8,14.32
